[7287,13306]
[9142,7287]
[9140,7287]
[9139,7287]
[9146,9139]
[9138,1]
[9147,9138]
[9143,9139]
[9145,9140]
[9144,9138]
[9151,9144]
[9141,9138]
[9148,9141]
[9150,9143]
[9152,9141]
[9153,9148]
